transaction_id,user_id,timestamp,amount,state,lat,lon,channel,merchant_category,device_id,is_new_device,seconds_since_prev,distance_from_prev_km,hour,weekday,is_fraud
13,1,2024-10-30 19:45:40,55.37,WA,47.6062,-122.3321,POS,Clothing,DEV-8OB3DU6H,0,2185468.0,1793.58,19,Wednesday,0
14,1,2025-01-02 08:50:33,67.5,WA,47.6062,-122.3321,Online,Restaurants,DEV-8OB3DU6H,0,5490293.0,0.0,8,Thursday,0
15,1,2025-01-20 22:48:34,33.27,WA,47.6062,-122.3321,Online,Fuel,DEV-8OB3DU6H,0,1605481.0,0.0,22,Monday,0
16,1,2025-01-31 20:06:58,57.74,WA,47.6062,-122.3321,POS,Luxury,DEV-1TMDDT55,1,940704.0,0.0,20,Friday,0
17,1,2025-02-03 11:05:43,75.91,WA,47.6062,-122.3321,ATM,Restaurants,DEV-GMS0QK5O,1,226725.0,0.0,11,Monday,0
18,1,2025-02-25 13:01:36,63.04,WA,47.6062,-122.3321,Online,Luxury,DEV-8OB3DU6H,0,1907753.0,0.0,13,Tuesday,0
19,1,2025-03-08 16:33:53,110.75,WA,47.6062,-122.3321,POS,GiftCards,DEV-8OB3DU6H,0,963137.0,0.0,16,Saturday,0
20,1,2025-05-07 09:48:44,216.04,WA,47.6062,-122.3321,POS,Grocery,DEV-8OB3DU6H,0,5159691.0,0.0,9,Wednesday,0
21,1,2025-06-30 12:56:14,154.2,WA,47.6062,-122.3321,Online,Grocery,DEV-8OB3DU6H,0,4676850.0,0.0,12,Monday,0
22,1,2025-07-04 03:25:13,58.11,WA,47.6062,-122.3321,POS,Clothing,DEV-8OB3DU6H,0,311339.0,0.0,3,Friday,0
23,2,2024-01-08 22:22:59,13.2,CA,34.0522,-118.2437,POS,GiftCards,DEV-PCDP3EIW,0,,0.0,22,Monday,0
24,2,2024-03-07 04:13:26,24.23,CA,34.0522,-118.2437,POS,Fuel,DEV-PCDP3EIW,0,5032227.0,0.0,4,Thursday,0
25,2,2024-03-09 21:52:51,30.56,IL,41.8781,-87.6298,Online,Luxury,DEV-PCDP3EIW,0,236365.0,2803.97,21,Saturday,0
26,2,2024-03-26 21:29:15,26.49,WA,47.6062,-122.3321,Mobile,Fuel,DEV-PCDP3EIW,0,1467384.0,2788.86,21,Tuesday,0
27,2,2024-03-28 14:17:42,26.66,NY,40.7128,-74.006,POS,Pharmacy,DEV-PCDP3EIW,0,146907.0,3865.53,14,Thursday,0
28,2,2024-05-20 18:11:51,26.1,CA,34.0522,-118.2437,POS,Restaurants,DEV-PCDP3EIW,0,4593249.0,3935.75,18,Monday,0
29,2,2024-05-22 03:25:33,21.93,GA,33.749,-84.388,Online,Grocery,DEV-PCDP3EIW,0,119622.0,3110.33,3,Wednesday,0
30,2,2024-05-24 02:16:00,15.2,CA,34.0522,-118.2437,Online,Grocery,DEV-PCDP3EIW,0,168627.0,3110.33,2,Friday,0
31,2,2024-06-30 03:27:21,66.81,CA,34.0522,-118.2437,POS,Grocery,DEV-PCDP3EIW,0,3201081.0,0.0,3,Sunday,0
32,2,2024-08-28 08:35:17,44.5,CA,34.0522,-118.2437,POS,Restaurants,DEV-PCDP3EIW,0,5116076.0,0.0,8,Wednesday,0
33,2,2024-11-15 22:00:46,13.76,CA,34.0522,-118.2437,Mobile,Clothing,DEV-PCDP3EIW,0,6873929.0,0.0,22,Friday,0
34,2,2024-12-11 21:57:25,13.79,IL,41.8781,-87.6298,POS,Pharmacy,DEV-PCDP3EIW,0,2246199.0,2803.97,21,Wednesday,0
35,2,2025-02-07 20:47:22,16.7,CA,34.0522,-118.2437,Online,Restaurants,DEV-PCDP3EIW,0,5006997.0,2803.97,20,Friday,0
36,2,2025-02-14 09:30:26,24.21,CA,34.0522,-118.2437,POS,Fuel,DEV-PCDP3EIW,0,564184.0,0.0,9,Friday,0
37,2,2025-03-02 01:22:06,50.52,CA,34.0522,-118.2437,POS,Electronics,DEV-N50JTA7W,1,1353100.0,0.0,1,Sunday,0
38,2,2025-03-03 05:07:36,43.64,CA,34.0522,-118.2437,Online,Luxury,DEV-PCDP3EIW,0,99930.0,0.0,5,Monday,0
39,2,2025-04-09 03:42:16,45.05,AZ,33.4484,-112.074,POS,Fuel,DEV-PCDP3EIW,0,3191680.0,574.27,3,Wednesday,0
40,2,2025-04-10 03:54:25,45.59,MA,42.3601,-71.0589,Mobile,Grocery,DEV-PCDP3EIW,0,87129.0,3693.71,3,Thursday,0
41,2,2025-04-16 15:29:52,46.1,CA,34.0522,-118.2437,Online,Restaurants,DEV-298U0YOR,1,560127.0,4169.61,15,Wednesday,0
42,2,2025-04-23 07:58:50,36.93,CA,34.0522,-118.2437,POS,Gaming,DEV-PCDP3EIW,0,577738.0,0.0,7,Wednesday,0
43,2,2025-05-18 05:06:18,31.18,CA,34.0522,-118.2437,Online,Fuel,DEV-PCDP3EIW,0,2149648.0,0.0,5,Sunday,0
44,2,2025-05-28 08:36:43,22.1,CA,34.0522,-118.2437,Mobile,Electronics,DEV-PCDP3EIW,0,876625.0,0.0,8,Wednesday,0
45,2,2025-06-30 14:36:00,8.34,CA,34.0522,-118.2437,ATM,Grocery,DEV-PCDP3EIW,0,2872757.0,0.0,14,Monday,0
46,2,2025-07-31 14:24:39,21.97,TX,29.7604,-95.3698,Mobile,Restaurants,DEV-PCDP3EIW,0,2677719.0,2206.26,14,Thursday,0
47,2,2025-08-01 10:17:22,69.98,PA,39.9526,-75.1652,POS,Grocery,DEV-PCDP3EIW,0,71563.0,2156.27,10,Friday,0
48,3,2024-01-12 04:50:30,22.03,TX,29.7604,-95.3698,POS,Pharmacy,DEV-UO9B4KFE,0,,0.0,4,Friday,0
49,3,2024-02-02 07:25:49,31.97,WA,47.6062,-122.3321,Online,Grocery,DEV-UO9B4KFE,0,1823719.0,3040.5,7,Friday,0
50,3,2024-02-28 23:15:17,22.84,NY,40.7128,-74.006,POS,GiftCards,DEV-UO9B4KFE,0,2303368.0,3865.53,23,Wednesday,0
51,3,2024-03-01 15:33:53,77.56,CA,34.0522,-118.2437,Mobile,Pharmacy,DEV-UO9B4KFE,0,145116.0,3935.75,15,Friday,0
52,3,2024-03-03 04:35:19,44.3,CA,34.0522,-118.2437,POS,Pharmacy,DEV-UO9B4KFE,0,133286.0,0.0,4,Sunday,0
53,3,2024-03-07 09:47:14,47.99,CA,34.0522,-118.2437,POS,Travel,DEV-UO9B4KFE,0,364315.0,0.0,9,Thursday,0
54,3,2024-03-12 13:48:47,21.71,NY,40.7128,-74.006,Online,Clothing,DEV-UO9B4KFE,0,446493.0,3935.75,13,Tuesday,0
55,3,2024-03-23 02:40:19,41.04,NY,40.7128,-74.006,POS,Gaming,DEV-EM6599KC,1,910292.0,0.0,2,Saturday,0
56,3,2024-04-09 04:27:55,38.18,NY,40.7128,-74.006,POS,Electronics,DEV-UO9B4KFE,0,1475256.0,0.0,4,Tuesday,0
57,3,2024-04-14 14:31:48,48.55,NY,40.7128,-74.006,POS,Restaurants,DEV-UO9B4KFE,0,468233.0,0.0,14,Sunday,0
58,3,2024-05-17 16:20:43,60.7,AZ,33.4484,-112.074,POS,Gaming,DEV-UO9B4KFE,0,2857735.0,3443.7,16,Friday,0
59,3,2024-05-28 22:56:13,59.86,NY,40.7128,-74.006,ATM,Grocery,DEV-UO9B4KFE,0,974130.0,3443.7,22,Tuesday,0
60,3,2024-06-26 00:36:17,33.74,FL,25.7617,-80.1918,ATM,Luxury,DEV-UO9B4KFE,0,2425204.0,1757.96,0,Wednesday,0
61,3,2024-07-05 23:50:32,46.07,NY,40.7128,-74.006,Online,Electronics,DEV-UO9B4KFE,0,861255.0,1757.96,23,Friday,0
62,3,2024-07-08 18:14:18,15.32,NY,40.7128,-74.006,POS,GiftCards,DEV-UO9B4KFE,0,239026.0,0.0,18,Monday,0
63,3,2024-07-12 22:45:46,44.82,AZ,33.4484,-112.074,Online,Fuel,DEV-UO9B4KFE,0,361888.0,3443.7,22,Friday,0
64,3,2024-09-03 23:54:47,45.92,NY,40.7128,-74.006,Online,Electronics,DEV-UO9B4KFE,0,4583341.0,3443.7,23,Tuesday,0
65,3,2024-09-09 13:14:55,24.12,PA,39.9526,-75.1652,Online,Gaming,DEV-UO9B4KFE,0,480008.0,129.61,13,Monday,0
66,3,2024-09-21 00:13:43,19.15,NY,40.7128,-74.006,Online,Grocery,DEV-8QAABP0O,1,989928.0,129.61,0,Saturday,0
67,3,2024-11-17 01:57:46,29.4,NY,40.7128,-74.006,Mobile,Restaurants,DEV-UO9B4KFE,0,4931043.0,0.0,1,Sunday,0
68,3,2024-12-06 14:50:53,14.71,NY,40.7128,-74.006,Online,Restaurants,DEV-UO9B4KFE,0,1687987.0,0.0,14,Friday,0
69,3,2025-01-03 23:19:16,37.37,NY,40.7128,-74.006,Online,Grocery,DEV-UO9B4KFE,0,2449703.0,0.0,23,Friday,0
70,3,2025-02-13 07:13:06,36.35,NY,40.7128,-74.006,Online,Restaurants,DEV-UO9B4KFE,0,3484430.0,0.0,7,Thursday,0
71,3,2025-03-10 11:43:00,17.24,MA,42.3601,-71.0589,Mobile,Pharmacy,DEV-UO9B4KFE,0,2176194.0,306.11,11,Monday,0
72,3,2025-03-13 08:46:23,31.34,FL,25.7617,-80.1918,POS,Clothing,DEV-UO9B4KFE,0,248603.0,2025.34,8,Thursday,0
73,3,2025-03-27 04:25:56,57.8,NY,40.7128,-74.006,Online,Electronics,DEV-UO9B4KFE,0,1193973.0,1757.96,4,Thursday,0
74,3,2025-05-13 01:15:25,57.63,NY,40.7128,-74.006,ATM,Electronics,DEV-UO9B4KFE,0,4049369.0,0.0,1,Tuesday,0
75,3,2025-06-10 21:08:15,55.85,IL,41.8781,-87.6298,POS,Grocery,DEV-AIC5W0WX,1,2490770.0,1144.29,21,Tuesday,0
76,3,2025-06-20 10:34:11,27.83,FL,25.7617,-80.1918,ATM,Pharmacy,DEV-UO9B4KFE,0,825956.0,1917.31,10,Friday,0
77,3,2025-07-06 01:01:01,24.87,PA,39.9526,-75.1652,Online,Electronics,DEV-B9DFCXDW,1,1348010.0,1645.54,1,Sunday,0
78,3,2025-07-06 12:10:17,24.09,NY,40.7128,-74.006,POS,Electronics,DEV-0BTE08NY,1,40156.0,129.61,12,Sunday,0
79,3,2025-07-18 03:10:45,43.47,CA,34.0522,-118.2437,Online,Grocery,DEV-UO9B4KFE,0,1004428.0,3935.75,3,Friday,0
80,3,2025-07-28 16:32:23,124.9,NY,40.7128,-74.006,Online,Luxury,DEV-UO9B4KFE,0,912098.0,3935.75,16,Monday,0
81,3,2025-08-08 07:35:53,70.77,NY,40.7128,-74.006,Online,Grocery,DEV-UO9B4KFE,0,918210.0,0.0,7,Friday,0
82,4,2024-01-23 19:56:58,95.13,FL,25.7617,-80.1918,Online,Pharmacy,DEV-UYDUGDZU,0,,0.0,19,Tuesday,0
83,4,2024-01-26 12:38:26,32.57,IL,41.8781,-87.6298,Online,Travel,DEV-UYDUGDZU,0,232888.0,1917.31,12,Friday,0
84,4,2024-04-10 08:04:09,28.34,IL,41.8781,-87.6298,POS,Clothing,DEV-UYDUGDZU,0,6463543.0,0.0,8,Wednesday,0
85,4,2024-05-26 02:43:48,77.75,AZ,33.4484,-112.074,Online,Gaming,DEV-UYDUGDZU,0,3955179.0,2336.34,2,Sunday,0
86,4,2024-06-10 06:36:53,101.17,IL,41.8781,-87.6298,Mobile,Electronics,DEV-UYDUGDZU,0,1309985.0,2336.34,6,Monday,0
87,4,2024-06-16 09:30:03,24.67,AZ,33.4484,-112.074,Online,Pharmacy,DEV-UYDUGDZU,0,528790.0,2336.34,9,Sunday,0
88,4,2024-06-20 18:59:12,37.6,CA,34.0522,-118.2437,POS,GiftCards,DEV-UYDUGDZU,0,379749.0,574.27,18,Thursday,0
89,4,2024-06-23 08:14:29,51.32,IL,41.8781,-87.6298,Online,Gaming,DEV-UYDUGDZU,0,220517.0,2803.97,8,Sunday,0
90,4,2024-08-30 06:16:26,27.4,IL,41.8781,-87.6298,POS,Clothing,DEV-MHFHPZ7U,1,5868117.0,0.0,6,Friday,0
91,4,2024-09-17 07:43:30,25.19,MA,42.3601,-71.0589,Online,Grocery,DEV-UYDUGDZU,0,1560424.0,1365.64,7,Tuesday,0
92,4,2024-10-07 15:21:25,24.47,IL,41.8781,-87.6298,POS,GiftCards,DEV-UYDUGDZU,0,1755475.0,1365.64,15,Monday,0
93,4,2024-11-02 03:50:29,62.47,IL,41.8781,-87.6298,Online,Electronics,DEV-UYDUGDZU,0,2204944.0,0.0,3,Saturday,0
94,4,2024-11-17 11:17:30,21.29,IL,41.8781,-87.6298,Online,Pharmacy,DEV-UYDUGDZU,0,1322821.0,0.0,11,Sunday,1
95,4,2024-11-20 01:08:10,72.6,AZ,33.4484,-112.074,Online,GiftCards,DEV-UYDUGDZU,0,222640.0,2336.34,1,Wednesday,0
96,4,2024-12-20 12:29:26,38.7,IL,41.8781,-87.6298,POS,GiftCards,DEV-UYDUGDZU,0,2632876.0,2336.34,12,Friday,0
97,4,2024-12-21 12:44:30,57.67,IL,41.8781,-87.6298,POS,Fuel,DEV-UYDUGDZU,0,87304.0,0.0,12,Saturday,0
98,4,2025-01-15 11:54:57,92.83,MA,42.3601,-71.0589,POS,Grocery,DEV-UYDUGDZU,0,2157027.0,1365.64,11,Wednesday,0
99,4,2025-01-20 10:44:31,24.59,IL,41.8781,-87.6298,POS,Grocery,DEV-UYDUGDZU,0,427774.0,1365.64,10,Monday,0
100,4,2025-02-04 12:55:04,22.51,FL,25.7617,-80.1918,POS,Electronics,DEV-UYDUGDZU,0,1303833.0,1917.31,12,Tuesday,0
101,4,2025-02-07 03:37:07,47.46,IL,41.8781,-87.6298,POS,Clothing,DEV-UYDUGDZU,0,225723.0,1917.31,3,Friday,0
102,4,2025-03-01 02:19:12,19.78,AZ,33.4484,-112.074,POS,Travel,DEV-UYDUGDZU,0,1896125.0,2336.34,2,Saturday,0
103,4,2025-03-14 23:19:00,23.71,IL,41.8781,-87.6298,Online,Restaurants,DEV-UYDUGDZU,0,1198788.0,2336.34,23,Friday,0
104,4,2025-05-19 13:50:37,34.32,MA,42.3601,-71.0589,Online,Luxury,DEV-UYDUGDZU,0,5668297.0,1365.64,13,Monday,0
105,4,2025-05-20 15:45:10,40.36,IL,41.8781,-87.6298,POS,Gaming,DEV-YPPQECKG,1,93273.0,1365.64,15,Tuesday,0
106,4,2025-06-11 04:09:45,17.42,WA,47.6062,-122.3321,Online,Luxury,DEV-UYDUGDZU,0,1859075.0,2788.86,4,Wednesday,0
107,4,2025-07-31 09:21:37,29.21,GA,33.749,-84.388,POS,Clothing,DEV-UYDUGDZU,0,4338712.0,3505.68,9,Thursday,0
108,4,2025-08-03 06:26:48,52.1,MA,42.3601,-71.0589,POS,Restaurants,DEV-UYDUGDZU,0,248711.0,1506.4,6,Sunday,0
109,5,2024-01-29 06:22:37,44.16,MA,42.3601,-71.0589,Mobile,Restaurants,DEV-HYPLVQK2,0,,0.0,6,Monday,0
110,5,2024-02-18 12:10:20,34.24,AZ,33.4484,-112.074,POS,Restaurants,DEV-HYPLVQK2,0,1748863.0,3693.71,12,Sunday,0
111,5,2024-03-11 12:35:11,10.55,AZ,33.4484,-112.074,POS,Pharmacy,DEV-HYPLVQK2,0,1902291.0,0.0,12,Monday,0
112,5,2024-04-11 18:38:28,8.38,AZ,33.4484,-112.074,Online,Electronics,DEV-YGILN96P,1,2700197.0,0.0,18,Thursday,0
113,5,2024-04-23 16:09:01,25.93,AZ,33.4484,-112.074,Mobile,Restaurants,DEV-HYPLVQK2,0,1027833.0,0.0,16,Tuesday,0
114,5,2024-05-20 07:22:48,15.71,AZ,33.4484,-112.074,Online,Grocery,DEV-BGR9EJ2M,1,2301227.0,0.0,7,Monday,0
115,5,2024-06-02 09:42:40,21.91,NY,40.7128,-74.006,POS,Luxury,DEV-HYPLVQK2,0,1131592.0,3443.7,9,Sunday,0
116,5,2024-06-13 18:07:30,33.8,AZ,33.4484,-112.074,Online,Electronics,DEV-HYPLVQK2,0,980690.0,3443.7,18,Thursday,0
117,5,2024-09-16 20:36:01,16.17,MA,42.3601,-71.0589,POS,Electronics,DEV-HYPLVQK2,0,8216911.0,3693.71,20,Monday,0
118,5,2024-09-20 19:26:51,22.26,AZ,33.4484,-112.074,POS,Grocery,DEV-1R89HJGW,1,341450.0,3693.71,19,Friday,0
119,5,2024-10-04 11:02:29,26.83,AZ,33.4484,-112.074,Online,Fuel,DEV-HYPLVQK2,0,1179338.0,0.0,11,Friday,0
120,5,2024-10-05 15:30:45,34.37,AZ,33.4484,-112.074,POS,Fuel,DEV-HYPLVQK2,0,102496.0,0.0,15,Saturday,0
121,5,2024-11-17 01:39:59,57.9,NY,40.7128,-74.006,Online,GiftCards,DEV-HYPLVQK2,0,3665354.0,3443.7,1,Sunday,0
122,5,2024-11-21 19:04:08,55.83,AZ,33.4484,-112.074,ATM,Restaurants,DEV-HYPLVQK2,0,408249.0,3443.7,19,Thursday,1
123,5,2024-12-22 14:31:54,23.33,CA,34.0522,-118.2437,Online,Grocery,DEV-HYPLVQK2,0,2662066.0,574.27,14,Sunday,0
124,5,2025-01-12 01:20:25,17.54,AZ,33.4484,-112.074,POS,Restaurants,DEV-HYPLVQK2,0,1766911.0,574.27,1,Sunday,0
125,5,2025-02-12 15:32:52,83.39,AZ,33.4484,-112.074,Online,Grocery,DEV-HYPLVQK2,0,2729547.0,0.0,15,Wednesday,0
126,5,2025-02-13 12:20:47,29.61,AZ,33.4484,-112.074,POS,Luxury,DEV-HYPLVQK2,0,74875.0,0.0,12,Thursday,0
127,5,2025-02-14 15:27:24,26.07,AZ,33.4484,-112.074,Online,Electronics,DEV-HYPLVQK2,0,97597.0,0.0,15,Friday,0
128,5,2025-03-02 07:14:56,10.46,AZ,33.4484,-112.074,Online,Luxury,DEV-HYPLVQK2,0,1352852.0,0.0,7,Sunday,0
129,5,2025-03-13 18:17:08,32.16,AZ,33.4484,-112.074,POS,Restaurants,DEV-HYPLVQK2,0,990132.0,0.0,18,Thursday,0
130,5,2025-04-01 17:35:05,12.7,TX,29.7604,-95.3698,POS,GiftCards,DEV-HYPLVQK2,0,1639077.0,1632.17,17,Tuesday,0
131,5,2025-04-29 07:36:10,15.37,AZ,33.4484,-112.074,Online,Grocery,DEV-HYPLVQK2,0,2383265.0,1632.17,7,Tuesday,0
132,5,2025-05-31 16:09:47,9.1,AZ,33.4484,-112.074,POS,Clothing,DEV-HYPLVQK2,0,2795617.0,0.0,16,Saturday,0
133,5,2025-06-23 20:34:52,14.82,AZ,33.4484,-112.074,POS,Electronics,DEV-HYPLVQK2,0,2003105.0,0.0,20,Monday,0
134,5,2025-08-09 04:22:09,20.97,NY,40.7128,-74.006,Online,Travel,DEV-HYPLVQK2,0,4002437.0,3443.7,4,Saturday,0
135,5,2025-08-14 22:05:24,8.25,AZ,33.4484,-112.074,POS,Electronics,DEV-HYPLVQK2,0,495795.0,3443.7,22,Thursday,0
136,6,2024-01-26 15:16:46,17.58,WA,47.6062,-122.3321,Online,Restaurants,DEV-CKRMQVCS,0,,0.0,15,Friday,0
137,6,2024-02-12 18:49:58,14.21,TX,29.7604,-95.3698,Online,Fuel,DEV-CKRMQVCS,0,1481592.0,3040.5,18,Monday,0
138,6,2024-02-15 00:36:42,18.26,FL,25.7617,-80.1918,POS,Travel,DEV-CKRMQVCS,0,193604.0,1556.79,0,Thursday,0
139,6,2024-03-31 10:21:22,12.95,TX,29.7604,-95.3698,POS,Grocery,DEV-CKRMQVCS,0,3923080.0,1556.79,10,Sunday,0
140,6,2024-04-02 00:30:37,43.29,FL,25.7617,-80.1918,Online,Restaurants,DEV-CKRMQVCS,0,137355.0,1556.79,0,Tuesday,0
141,6,2024-04-21 10:40:17,16.58,FL,25.7617,-80.1918,Online,Grocery,DEV-CKRMQVCS,0,1678180.0,0.0,10,Sunday,0
142,6,2024-04-29 13:38:49,47.49,FL,25.7617,-80.1918,Online,Fuel,DEV-CKRMQVCS,0,701912.0,0.0,13,Monday,0
143,6,2024-06-21 06:22:01,52.12,GA,33.749,-84.388,Online,Restaurants,DEV-CKRMQVCS,0,4552992.0,975.88,6,Friday,0
144,6,2024-07-27 03:24:48,14.67,GA,33.749,-84.388,Online,Grocery,DEV-CKRMQVCS,0,3099767.0,0.0,3,Saturday,0
145,6,2024-09-05 05:17:12,30.74,FL,25.7617,-80.1918,Online,Restaurants,DEV-CKRMQVCS,0,3462744.0,975.88,5,Thursday,0
146,6,2024-09-06 08:26:28,22.54,FL,25.7617,-80.1918,POS,Electronics,DEV-KKUN89EI,1,97756.0,0.0,8,Friday,0
147,6,2024-10-30 14:00:22,15.21,FL,25.7617,-80.1918,POS,Luxury,DEV-CAELEPN0,1,4685634.0,0.0,14,Wednesday,0
148,6,2024-11-18 15:13:28,24.56,CA,34.0522,-118.2437,Online,Grocery,DEV-CKRMQVCS,0,1645986.0,3758.77,15,Monday,0
149,6,2024-12-02 01:33:16,25.97,IL,41.8781,-87.6298,POS,Clothing,DEV-CKRMQVCS,0,1160388.0,2803.97,1,Monday,0
150,6,2025-02-10 19:42:27,45.88,CA,34.0522,-118.2437,POS,Grocery,DEV-CKRMQVCS,0,6113351.0,2803.97,19,Monday,0
151,6,2025-02-22 19:49:25,55.37,CA,34.0522,-118.2437,Mobile,Travel,DEV-CKRMQVCS,0,1037218.0,0.0,19,Saturday,0
152,6,2025-03-17 06:26:28,15.54,FL,25.7617,-80.1918,Mobile,Restaurants,DEV-CKRMQVCS,0,1939023.0,3758.77,6,Monday,0
153,6,2025-05-06 21:35:03,23.53,MA,42.3601,-71.0589,Online,Gaming,DEV-CKRMQVCS,0,4374515.0,2025.34,21,Tuesday,0
154,6,2025-06-13 11:55:34,41.19,FL,25.7617,-80.1918,POS,Restaurants,DEV-CKRMQVCS,0,3248431.0,2025.34,11,Friday,0
155,6,2025-06-25 11:21:51,60.66,WA,47.6062,-122.3321,ATM,Clothing,DEV-TNASMA9L,1,1034777.0,4396.1,11,Wednesday,0
156,6,2025-07-15 19:54:58,6.96,NY,40.7128,-74.006,Online,Grocery,DEV-CKRMQVCS,0,1758787.0,3865.53,19,Tuesday,0
157,6,2025-07-19 01:25:55,64.45,FL,25.7617,-80.1918,POS,Fuel,DEV-CKRMQVCS,0,279057.0,1757.96,1,Saturday,0
158,6,2025-08-09 15:31:00,27.13,TX,29.7604,-95.3698,Online,Restaurants,DEV-CKRMQVCS,0,1865105.0,1556.79,15,Saturday,0
159,7,2024-01-05 11:05:13,18.22,NY,40.7128,-74.006,POS,Grocery,DEV-5ZHRSNRQ,1,,0.0,11,Friday,0
160,7,2024-01-27 05:20:56,30.77,FL,25.7617,-80.1918,Mobile,Grocery,DEV-1FRBY1U5,0,1880143.0,1757.96,5,Saturday,0
161,7,2024-02-19 20:15:55,60.31,TX,29.7604,-95.3698,Online,Pharmacy,DEV-1FRBY1U5,0,2040899.0,1556.79,20,Monday,0
162,7,2024-03-24 04:51:35,30.51,TX,29.7604,-95.3698,Online,Fuel,DEV-1FRBY1U5,0,2882140.0,0.0,4,Sunday,0
163,7,2024-06-12 10:11:16,7.3,IL,41.8781,-87.6298,POS,Grocery,DEV-1FRBY1U5,0,6931181.0,1515.81,10,Wednesday,0
164,7,2024-06-15 07:24:40,45.11,TX,29.7604,-95.3698,Online,Fuel,DEV-1FRBY1U5,0,249204.0,1515.81,7,Saturday,0
165,7,2024-08-08 11:22:22,11.43,TX,29.7604,-95.3698,POS,Gaming,DEV-1FRBY1U5,0,4679862.0,0.0,11,Thursday,0
166,7,2024-09-17 01:07:41,16.67,TX,29.7604,-95.3698,ATM,Grocery,DEV-2UXK15NR,1,3419119.0,0.0,1,Tuesday,0
167,7,2024-09-29 20:48:14,14.94,TX,29.7604,-95.3698,Mobile,Travel,DEV-1FRBY1U5,0,1107633.0,0.0,20,Sunday,0
168,7,2024-10-07 20:40:20,9.96,TX,29.7604,-95.3698,POS,Restaurants,DEV-1FRBY1U5,0,690726.0,0.0,20,Monday,0
169,7,2024-10-18 17:32:23,14.14,TX,29.7604,-95.3698,POS,Electronics,DEV-1FRBY1U5,0,939123.0,0.0,17,Friday,0
170,7,2024-10-20 03:23:57,16.58,TX,29.7604,-95.3698,Online,Restaurants,DEV-1FRBY1U5,0,121894.0,0.0,3,Sunday,0
171,7,2024-10-23 01:58:30,20.76,PA,39.9526,-75.1652,POS,Pharmacy,DEV-1FRBY1U5,0,254073.0,2156.27,1,Wednesday,0
172,7,2024-12-02 14:58:42,29.01,TX,29.7604,-95.3698,POS,Fuel,DEV-1FRBY1U5,0,3502812.0,2156.27,14,Monday,0
173,7,2025-01-06 16:37:01,24.51,TX,29.7604,-95.3698,POS,Gaming,DEV-1FRBY1U5,0,3029899.0,0.0,16,Monday,0
174,7,2025-02-06 06:55:50,12.32,TX,29.7604,-95.3698,POS,Electronics,DEV-1FRBY1U5,0,2643529.0,0.0,6,Thursday,0
175,7,2025-02-27 14:14:35,26.86,IL,41.8781,-87.6298,Online,Clothing,DEV-1FRBY1U5,0,1840725.0,1515.81,14,Thursday,0
176,7,2025-03-19 03:37:08,53.69,TX,29.7604,-95.3698,Online,Restaurants,DEV-1FRBY1U5,0,1689753.0,1515.81,3,Wednesday,0
177,7,2025-03-20 10:49:03,52.9,AZ,33.4484,-112.074,Online,Grocery,DEV-1FRBY1U5,0,112315.0,1632.17,10,Thursday,0
178,7,2025-03-29 22:58:39,32.47,TX,29.7604,-95.3698,POS,Grocery,DEV-1FRBY1U5,0,821376.0,1632.17,22,Saturday,0
179,7,2025-04-14 15:48:28,43.43,TX,29.7604,-95.3698,Mobile,Gaming,DEV-B78QLS79,1,1356589.0,0.0,15,Monday,0
